#{"t_start": 1639617107.9260662, "env_id": null}
r,l,t
96,5,0.305431
97,4,1.080158
97,4,1.832184
97,4,2.634187
89,12,3.702688
94,7,4.534267
-304,5,5.349454
95,6,6.215196
95,6,7.040438
-301,2,7.728652
89,12,8.832596
99,2,9.528615
99,2,10.293719
98,3,11.113638
86,15,12.326441
97,4,13.078794
-301,2,13.793813
93,8,14.70152
86,15,15.789207
94,7,16.666618
92,9,17.655805
98,3,18.377702
97,4,19.126133
92,9,20.083158
96,5,20.902529
93,8,21.812843
90,11,22.846834
92,9,23.744124
96,5,24.545188
-301,2,25.245613
